mean,std,f3,f4,f5,f6
1.4210854715202004e-17,0.9994872434818706,0,0,0,0
2.4868995751603507e-17,0.9995179959042467,0,0,0,0
-7.697546304067752e-18,0.9993383283433057,0,0,0,0
-3.552713678800501e-18,0.9995773313927728,0,0,0,0
-1.5987211554602253e-17,0.9995794842860858,0,0,0,0
-4.0264088359739013e-17,0.999599504957718,0,0,0,0
-2.4276876805136757e-17,0.9996691244597267,0,0,0,0
1.8947806286936004e-17,0.9996307712052476,0,0,0,0
-4.736951571734001e-18,0.9995844876481587,0,0,0,0
-1.0658141036401503e-17,0.9995833396144445,0,0,0,0
-9.473903143468002e-18,0.9996525365711937,0,0,0,0
2.0132044179869507e-17,0.9995882568303762,0,0,0,0
-5.921189464667502e-18,0.9995681173945992,0,0,0,0
2.1316282072803006e-17,0.9994948401445729,0,0,0,0
1.4210854715202004e-17,0.9995868775579183,0,0,0,0
-2.3684757858670005e-18,0.9996620788252283,0,0,0,0
1.6579330501069006e-17,0.999671693271979,0,0,0,0
1.7763568394002505e-18,0.9995864236443395,0,0,0,0
-2.3684757858670005e-18,0.9995765017347377,0,0,0,0
-2.3684757858670005e-18,0.9996104089855669,0,0,0,0
-3.552713678800501e-17,0.9995906447057795,0,0,0,0
1.4210854715202004e-17,0.9995387098514796,0,0,0,0
-3.552713678800501e-18,0.9995728085905292,0,0,0,0
1.1842378929335004e-17,0.9995840731720348,0,0,0,0
2.1316282072803006e-17,0.9996181461809401,0,0,0,0
1.7763568394002505e-17,0.9996530298516508,0,0,0,0
-8.289665250534503e-18,0.9996428281661456,0,0,0,0
-2.3684757858670005e-18,0.999676955022554,0,0,0,0
1.0658141036401503e-17,0.9995964320186982,0,0,0,0
4.736951571734001e-18,0.9996591114922567,0,0,0,0
2.3684757858670008e-17,0.9996592096605089,0,0,0,0
-2.3092638912203255e-17,0.9996871858888677,0,0,0,0
2.6053233644537006e-17,0.9997006859539114,0,0,0,0
-2.1908401019269756e-17,0.9996517903296597,0,0,0,0
2.960594732333751e-18,0.9996478307058411,0,0,0,0
4.736951571734001e-18,0.9996046513146056,0,0,0,0
-5.3290705182007515e-18,0.9996094991314113,0,0,0,0
-2.4868995751603507e-17,0.9995573463171986,0,0,0,0
-1.5395092608135503e-17,0.9996756653452795,0,0,0,0
-1.8947806286936004e-17,0.9995944424031739,0,0,0,0
-1.0658141036401503e-17,0.9996468311239872,0,0,0,0
-1.7763568394002505e-17,0.999655512423192,0,0,0,0
-1.1842378929335004e-17,0.9996101401562628,0,0,0,0
7.105427357601002e-18,0.9996078803566143,0,0,0,0
-2.3684757858670005e-18,0.9995981831172401,0,0,0,0
-1.8947806286936004e-17,0.999556676825864,0,0,0,0
4.736951571734001e-18,0.9995926949571359,0,0,0,0
2.842170943040401e-17,0.999592962382574,0,0,0,0
-5.921189464667502e-18,0.9995111535292253,0,0,0,0
8.289665250534503e-18,0.9996489449677576,0,0,0,0
-3.552713678800501e-18,0.999573981947615,0,0,0,0
-2.3684757858670005e-18,0.9996613264769115,0,0,0,0
2.3684757858670008e-17,0.9996800641425702,0,0,0,0
-8.289665250534503e-18,0.9996610977105174,0,0,0,0
1.4210854715202004e-17,0.9997110960476163,0,0,0,0
4.263256414560601e-17,0.999624839605362,0,0,0,0
-3.1974423109204506e-17,0.9996769470213165,0,0,0,0
-3.315866100213801e-17,0.9996560276016206,0,0,0,0
-2.4868995751603507e-17,0.9996047079572766,0,0,0,0
-3.0790185216271007e-17,0.9997195885947409,0,0,0,0
-7.105427357601002e-18,0.9996551838230472,0,0,0,0
9.473903143468002e-18,0.9996640465135331,0,0,0,0
-1.6579330501069006e-17,0.9997152927058548,0,0,0,0
-9.473903143468002e-18,0.9996491210274973,0,0,0,0
-1.4210854715202004e-17,0.9996922259139855,0,0,0,0
-2.7237471537470506e-17,0.9996776523700451,0,0,0,0
-7.105427357601002e-18,0.9996712442452561,0,0,0,0
2.3684757858670005e-18,0.9997193039714732,0,0,0,0
-1.1842378929335003e-18,0.9997139794231366,0,0,0,0
4.736951571734001e-18,0.9996612181599065,0,0,0,0
-4.736951571734001e-18,0.999688278570554,0,0,0,0
-3.0790185216271007e-17,0.9996563341390556,0,0,0,0
-4.736951571734001e-18,0.9996779848437326,0,0,0,0
-9.473903143468002e-18,0.9996610123985377,0,0,0,0
2.3684757858670008e-17,0.9993130757943987,0,0,0,0
2.2500519965736505e-17,0.9991315962446862,0,0,0,0
-1.0658141036401503e-17,0.9991956005340217,0,0,0,0
-1.5395092608135503e-17,0.9989091707077193,0,0,0,0
1.6579330501069006e-17,0.9989500495700132,0,0,0,0
1.1842378929335003e-18,0.9987390529680257,0,0,0,0
-2.3684757858670005e-18,0.9997073768149997,0,0,0,0
-1.8947806286936004e-17,0.9995814639682147,0,0,0,0
